frame 206;
5;1;0.1957
5;1;0.2693
5;1;0.3436
4;2;0.3773
4;2;0.3972
4;3;0.4167
4;3;0.4092
4;3;0.4017
4;3;0.4004
4;3;0.4004
4;3;0.4193
4;3;0.4449
4;3;0.4731
4;3;0.4933
4;4;0.5184
4;4;0.5547
4;4;0.5896
4;4;0.6180
#7;12;0.6326
#7;12;0.6349
#7;12;0.6345
#7;12;0.6335
#7;12;0.6351
#7;12;0.6331
#7;12;0.6335
#7;12;0.6331
#7;12;0.6343
#7;12;0.6321
#7;12;0.6350
4;5;0.6309
4;5;0.6180
4;5;0.6046
4;5;0.6070
4;6;0.6062
4;6;0.6037
4;6;0.5982
4;6;0.5928
4;6;0.5805
4;6;0.5719
4;6;0.5577
4;6;0.5453
4;7;0.5169
4;7;0.4802
3;7;0.4413
3;7;0.4004
3;8;0.3582
3;8;0.2756
3;8;0.1497
3;8;-0.0250
3;8;-0.0453
3;8;-0.0511
3;8;-0.0621
3;8;-0.0854
3;8;-0.0787
3;7;-0.0513
3;6;-0.0739
3;5;-0.1072
3;5;-0.1053
4;5;-0.0773
4;5;-0.0720
5;5;-0.0392
5;5;-0.0389
5;6;-0.0211
5;7;-0.0026
5;8;-0.0180
5;8;-0.0602
4;8;-0.0627
4;8;-0.0203
3;8;-0.0667
2;8;-0.0704
2;8;-0.0094
1;6;-0.0175
2;6;-0.0032
2;5;-0.0510
2;5;-0.0314
3;4;-0.1029
4;5;-0.0961
5;5;-0.0294
5;6;-0.0397
6;6;-0.0092
6;7;0.0004
5;7;-0.0178
5;7;-0.0379
5;7;-0.0115
4;7;-0.0706
3;7;-0.0710
3;7;-0.0801
2;6;-0.0475
2;6;-0.0518
3;5;-0.0790
3;5;-0.1217
4;5;-0.0670
4;5;-0.0762
5;5;-0.0449
5;5;-0.0298
6;6;-0.0147
6;7;-0.0123
5;8;-0.0020
5;8;-0.0524
5;9;-0.0319
4;9;-0.0699
3;9;-0.0516
3;9;-0.0555
2;8;-0.0430
1;7;-0.0026
1;7;-0.0149
1;6;-0.0013
2;6;0.0029
2;6;0.0309
3;5;-0.0028
4;5;0.0411
5;5;0.1413
5;4;0.1429
5;4;0.2134
6;3;0.2713
6;3;0.3406
6;3;0.4233
6;2;0.4648
6;2;0.5006
6;2;0.5343
6;2;0.5671
6;1;0.5765
6;1;0.5822
6;1;0.5830
6;1;0.5939
6;1;0.6010
6;1;0.6049
6;1;0.6069
6;1;0.6119
6;1;0.6084
6;1;0.6040
6;1;0.5970
6;1;0.5807
6;1;0.5577
6;1;0.5368
6;1;0.5165
6;1;0.5062
6;1;0.4988
6;1;0.4977
6;1;0.5036
6;1;0.5072
6;1;0.5106
6;1;0.5039
6;1;0.4845
6;1;0.4617
6;1;0.4476
6;1;0.4484
6;1;0.4420
6;1;0.4344
6;1;0.4348
6;1;0.4449
6;1;0.4707
6;1;0.4998
6;1;0.5254
6;1;0.5300
6;0;0.5121
6;0;0.4605
6;0;0.3590
6;0;0.1705
7;0;-0.0645
7;0;-0.0689
7;0;-0.0680
7;0;-0.0687
7;0;-0.0692
7;0;-0.0684
7;0;-0.0685
7;0;-0.0670
7;0;-0.0694
7;0;-0.0676
7;0;-0.0699
7;0;-0.0694
7;0;-0.0688
7;0;-0.0688
7;0;-0.0714
7;0;-0.0691
7;0;-0.0685
7;0;-0.0643
7;0;-0.0186
6;0;0.1615
6;0;0.2815
6;0;0.3928
6;1;0.4652
6;1;0.5096
6;1;0.5281
6;1;0.5233
6;1;0.5027
6;1;0.4695
6;1;0.4364
7;1;0.3917
7;0;0.2749
7;0;0.0370
7;0;-0.0331
7;0;-0.0340
7;0;-0.0344
7;0;-0.0361
7;0;-0.0385
7;0;-0.0370
7;0;-0.0403
7;0;-0.0391
7;0;-0.0396
7;0;-0.0388
7;0;-0.0411
7;0;-0.0390
7;0;-0.0380
7;0;-0.0183
5;1;0.1152
